member_id,eligible_amount,eligible_amount_formatted
2c1d8afa-0157-4995-b76f-eea54378101b,73876.61,"KES 73,877"
27131f1e-3758-4095-999e-27069f3b59b6,65260.49,"KES 65,260"
9fd810a5-dc29-4d9b-a811-a413bfa13307,22927.0,"KES 22,927"
cc8f8b07-8879-4d00-9165-cc3333432fe5,101188.13,"KES 101,188"
b894f2c2-75bd-4ee4-86c2-d8fbb879b9a8,26825.72,"KES 26,826"
f6693cf4-ec8a-4cc6-bb0b-5c450804bb53,19583.14,"KES 19,583"
08eb280f-7b57-4d30-b606-e8057a3dc91c,10079.16,"KES 10,079"
19900b67-cd8f-44ad-b7ba-bfbada8d5b1c,13882.32,"KES 13,882"
e603ca4d-7119-4156-a0f2-336ecbc26105,83245.21,"KES 83,245"
0eab2c8f-f3cb-428c-9625-2de7188ffa78,105791.18,"KES 105,791"
28b012a2-8682-4fa3-a842-43c78abaf7a5,119890.94,"KES 119,891"
f2406c7d-5932-4589-816e-0d11c7ecfe5d,55347.26,"KES 55,347"
c4bb8841-c789-443a-8ae0-d58d7aaeaab4,82267.49,"KES 82,267"
957776b5-bbf3-420e-9755-8a662a472641,32603.93,"KES 32,604"
f30342e1-4fab-4ea4-8304-8cb6d584b280,104873.63,"KES 104,874"
dba285fe-c331-4afa-a936-2a9dddc6dd61,86974.86,"KES 86,975"
3a3c1a9d-78cc-41dc-8c3c-45cbd80cc123,16101.56,"KES 16,102"
8ec85ff7-cd5f-401c-bd57-1a419d83761a,74450.98,"KES 74,451"
ecb13ef7-4c3b-46ec-aeaa-995539869a0e,11785.69,"KES 11,786"
40c5457e-889d-4afa-ad45-cd1e2c8536cd,15876.88,"KES 15,877"
bcb551f8-c2d2-44df-ac6f-cf64e98cf82c,50107.5,"KES 50,108"
e138bf5c-8007-4c7a-9dcc-19f75ccdd900,43868.11,"KES 43,868"
fd4f01d4-5053-43b8-95a3-b8b2e1253be3,20863.2,"KES 20,863"
ca13733b-11a0-42a4-bbc1-56b0c0e385ec,10078.11,"KES 10,078"
8344a503-5d7f-470f-a033-2bc73d4ab76b,69765.63,"KES 69,766"
144ec220-08ea-4f82-8649-1c7732e6cb9e,10115.18,"KES 10,115"
3f76559a-d0d7-47a4-8899-7b8f3a62e6d5,86001.22,"KES 86,001"
c65d6d02-0717-4c4b-a375-82cd76b2eb91,19933.14,"KES 19,933"
79300afb-2e5b-462b-817e-1b5c77e4ca56,20128.4,"KES 20,128"
00d4686a-5112-4cf2-908b-fafe9a4b635e,10048.46,"KES 10,048"
3db29de8-0535-474e-b63e-ab8d005eb757,22014.64,"KES 22,015"
4e14a624-54a2-400e-81a0-dc892f58be85,22078.33,"KES 22,078"
54c34092-6906-4f2e-9d8c-8ea236116e99,24351.45,"KES 24,351"
656e888f-9469-44a8-b624-381e5da79456,14597.02,"KES 14,597"
af0aec4a-7dc8-4235-8338-ec6a39525170,68135.31,"KES 68,135"
57f64e0f-dd8f-4074-a3d3-0f284b4ba93c,19344.91,"KES 19,345"
61352fe6-c6f5-4e46-a28a-03dc3f20e985,67698.17,"KES 67,698"
9aa2abe8-9549-4f31-b9db-d6b876cce707,29736.29,"KES 29,736"
fb6e5505-50d7-4b92-a325-a419c941411d,61112.81,"KES 61,113"
070e9012-66da-4af2-964f-f2c3a2e0c51e,24345.22,"KES 24,345"
82cfc0d2-1084-41c8-864c-a2a9a064e053,88588.52,"KES 88,589"
23994116-2318-4d19-bc44-187154042bf2,13405.66,"KES 13,406"
28bbd75a-bc32-407f-9649-cc374d75088b,24824.27,"KES 24,824"
a840e9fb-27ab-4c6b-99a3-3e06ac77d0cb,11480.84,"KES 11,481"
7a5b2a76-d949-4c1f-aa39-390839011f13,86158.86,"KES 86,159"
2a307f97-7c8f-4ce6-a2f6-f0b0049458d6,91857.1,"KES 91,857"
bf23eb0d-4c32-4fa4-a890-91438552721d,31124.69,"KES 31,125"
b8de2666-0fcd-4110-80d3-02e88eae4147,115927.54,"KES 115,928"
0141d30e-fcf0-4d70-8215-5d68bf9129af,54664.75,"KES 54,665"
b4cd7f9f-3365-41be-876d-e39bc4bd01d2,11755.53,"KES 11,756"
f91f1abc-64d2-433c-9d40-3dceae239a5f,91190.55,"KES 91,191"
8f26a0e3-52d3-4b48-bf04-dd783c2d3499,108155.31,"KES 108,155"
03c24346-4f40-4fb6-9e44-ec7846aac44a,117007.98,"KES 117,008"
012d4d32-8f96-48c2-8441-2615d0086c95,93110.87,"KES 93,111"
d8915646-22ef-490b-8ecb-6a61bebc8181,122867.39,"KES 122,867"
e07d1cb1-a5e8-4db2-a627-e35e04ee7e03,107929.84,"KES 107,930"
6795e5d9-52e8-4dad-a6a4-147ef027c4c3,16624.63,"KES 16,625"
a1f35f1a-de63-4e84-a9d0-3d487fa5b1d7,81896.26,"KES 81,896"
14f138b6-0ebb-44e2-8d7d-d1df2f4fcb45,68627.66,"KES 68,628"
e0d8526f-52ea-4a79-857a-07ad85403174,50371.42,"KES 50,371"
daf3a067-38f0-472b-9215-d1481fa9c1f7,104523.71,"KES 104,524"
534ba15c-7dfc-4ee4-9501-0ff2f5839bbb,15498.84,"KES 15,499"
568b49ae-9d1c-4bb1-9c8d-b93b6a2c24d6,85872.17,"KES 85,872"
743ed9e5-da72-4bf0-ba60-f56c3020402b,80370.47,"KES 80,370"
912da90e-14be-442a-be37-e7bf8e7f2843,83826.92,"KES 83,827"
f6ba99da-c23f-4ab6-908b-7372bdd52a5c,80707.01,"KES 80,707"
7e3e24bd-d50b-4ba0-adbe-dce43b47f15d,23735.07,"KES 23,735"
9afbaebc-3c96-4a9c-99bf-f4a8b1b7067d,95810.9,"KES 95,811"
818997f6-f0d1-4380-af39-d37e119c69d4,48552.33,"KES 48,552"
d6bef8f7-8702-4f16-a0c5-4b98bed1f2cf,106670.68,"KES 106,671"
ed9c0225-9354-44cf-a905-c34d0c4a2b32,67993.95,"KES 67,994"
e2e8c8bd-0e41-4659-826a-914336f19b17,89680.48,"KES 89,680"
8813c8ae-bfe8-4152-8e19-d07e23a2bf98,101348.99,"KES 101,349"
a565c1f1-5f6d-495f-b964-c7039fe6b48e,35338.72,"KES 35,339"
71d698bc-92dd-4310-800a-6cff5d402c40,82852.3,"KES 82,852"
795e8d37-036c-4f25-822c-e4c77517c357,18574.08,"KES 18,574"
1e09352b-194a-4cd7-80d6-ffdd3715d38b,103897.32,"KES 103,897"
cbbfa4e1-9e86-491f-b9f2-aa5c22e1ac25,24299.11,"KES 24,299"
1a6a9c4c-0162-4185-8483-55bcc9ebdd5b,12952.52,"KES 12,953"
ce289794-198d-4361-9782-902114a62fc1,90862.69,"KES 90,863"
ccb79973-e5eb-4fd7-b9f1-3760492cd83e,22281.17,"KES 22,281"
63ceb789-0c8f-4d02-ad4b-b6d0d9c976cf,16361.61,"KES 16,362"
69c2a278-57e0-4822-a5cb-0a6a103efdb4,37014.98,"KES 37,015"
7980970a-e440-49ac-b47a-c653f0bbdfe0,11322.39,"KES 11,322"
85f6f110-8b58-4ae8-8687-2006a330d5a4,104368.12,"KES 104,368"
3c61d233-c2ed-4a3f-a7c1-ec4606c8025c,42584.37,"KES 42,584"
7a624aef-ec37-44d1-b8c1-ba37fc9ad2e6,10092.23,"KES 10,092"
c436bb47-bb22-4a87-9818-a0ccc9496ff2,104625.71,"KES 104,626"
7de41c6d-6663-42a8-9adf-0bd3ef51fcb6,28208.77,"KES 28,209"
35a0271d-6521-44d4-a855-8d96b68f1c58,119860.79,"KES 119,861"
b7756bce-f4ac-423d-be5e-d30ace0522d4,16456.38,"KES 16,456"
2fe27ded-4508-4363-b622-628b72e46b2c,64788.99,"KES 64,789"
2bbceb3a-28db-420e-8ecc-14f6f6dc13ce,107294.35,"KES 107,294"
3f1622c0-11bd-4a80-9e06-84b804208352,114542.49,"KES 114,542"
00f319bb-6449-4654-b3da-43cbfbd3eadc,22072.8,"KES 22,073"
8f9a616f-9870-492d-91fa-12ae6e359e35,63893.88,"KES 63,894"
cb148168-fd96-473e-bfac-b6a8c9ea39c4,12029.04,"KES 12,029"
0d3eac8d-4ff0-42eb-b978-e3986809baf5,82600.62,"KES 82,601"
eff49e0a-5604-4216-b2a1-def3012e8412,84279.31,"KES 84,279"
f863580e-918f-459b-a68f-06228184c666,36194.23,"KES 36,194"
b75ae72e-8913-4bdc-91d7-a0cb546bed1d,23847.41,"KES 23,847"
11645781-3767-42e1-b656-91a15f736a5f,45418.41,"KES 45,418"
810e95e7-2620-4a93-a7c2-afc4750fdef6,22862.02,"KES 22,862"
f206f65d-f830-436c-a565-cf6ac5097b0f,15295.86,"KES 15,296"
f2171a0b-7be3-4f84-addf-a5e9d92b13fd,92689.52,"KES 92,690"
4df400fb-eada-4005-8b38-66799fe261db,20615.06,"KES 20,615"
e02403be-b3de-4bcc-a273-22033dadd6e3,90852.1,"KES 90,852"
f3a88df0-01f9-4a35-9cf2-630dad59bbc8,76240.86,"KES 76,241"
d2148bae-2e8d-465c-9ad6-dbacf822e0cb,95634.95,"KES 95,635"
8eac2bc9-8850-48db-aa4a-a2e4f13d5cf8,16889.61,"KES 16,890"
d0ce84ef-437f-44a4-8235-21a209cccbe4,19676.09,"KES 19,676"
d7b1c4f8-c7ad-45ef-ba4c-578d63d62912,42944.3,"KES 42,944"
26205c4e-1be7-4a63-a1f6-8ecbb9c77f11,95016.26,"KES 95,016"
42c2e426-b09c-4489-ab1a-5178c14e53e4,85852.18,"KES 85,852"
11591e9d-0376-422a-9a5c-aa2875515449,95211.38,"KES 95,211"
e613ef10-9067-401f-bece-46af45aaa7d0,86550.52,"KES 86,551"
90844171-d1c2-477f-8152-0cd0dcea8d48,100263.02,"KES 100,263"
b17a1611-6c61-46fc-967d-b99bd2a52b26,23041.96,"KES 23,042"
add4339b-b7a3-492a-8121-267db731e9fa,53301.2,"KES 53,301"
74509d14-ec4f-46b8-9ff3-6032d19fd1c3,83941.71,"KES 83,942"
29facb5e-c67a-4f27-9aae-b6c2d22c03d9,34637.41,"KES 34,637"
b855f3af-b49d-4228-9c17-4fa7cd9edc91,84590.53,"KES 84,591"
a84e7e5b-6bf6-41b2-992e-f3afb6f91160,106548.71,"KES 106,549"
af838fea-eebd-4af1-94b4-e1ffa69cb60f,12693.34,"KES 12,693"
acef860f-1f03-471c-a6e9-42230a6d2781,13798.18,"KES 13,798"
6d2edce1-af2b-4dd3-ab5d-8cb04b036db7,98753.72,"KES 98,754"
b2225045-203c-4be0-bdbc-12325c904263,86862.38,"KES 86,862"
557cd46f-d867-46ac-a362-2197d95c209e,10240.97,"KES 10,241"
2b90902f-341f-40fe-b98d-bbee530d02d4,69825.79,"KES 69,826"
f141edb0-51f1-4864-8944-1c7426f9c0fa,123029.62,"KES 123,030"
84985e19-b8a0-4afc-8bc3-ae2e5c442bea,80612.92,"KES 80,613"
96b5b092-6072-43be-89f3-0025f642933e,101899.36,"KES 101,899"
b83e6cee-5e85-4b0d-aa95-6855c1331ea7,26787.55,"KES 26,788"
4c481de7-9298-42e5-aea2-91628fb1e0d8,25958.75,"KES 25,959"
f417c096-1fb8-47db-abfd-3d59a55c0f12,103966.35,"KES 103,966"
a8f9d38c-f8b5-42d6-a9c5-1a4c77ab8562,80123.28,"KES 80,123"
f5299d04-25d0-4121-a9c3-7da75a8f685f,63417.56,"KES 63,418"
d03494d3-3cc7-4adb-93cb-446c13195823,113325.44,"KES 113,325"
edb1cab2-2b14-445b-b737-a2fc4628d522,77849.43,"KES 77,849"
76033e67-a7dd-482c-9f26-47f0e821d019,80371.29,"KES 80,371"
5a910282-e038-4650-aa13-69f8578417f5,81520.97,"KES 81,521"
7f4032f0-4d6d-4e0f-8538-c07f6789cdfc,101572.81,"KES 101,573"
a18b15de-e740-4c93-a3a0-1cc9ef9c6ef7,15910.83,"KES 15,911"
a385ee6c-67d1-43e8-89e4-a6230d644a1f,79874.58,"KES 79,875"
f3a5e59a-46fa-4b79-a11e-2d3dc0760b1a,77731.88,"KES 77,732"
45c21b07-9ae9-49dd-aba3-1bcd97ef3b25,64727.67,"KES 64,728"
e83bedb2-2e54-45d8-96d3-c5d461fc5080,24789.08,"KES 24,789"
b3063bea-51d9-4207-aafc-266a580388fd,13829.68,"KES 13,830"
79482d66-b53b-497b-98ed-f96dd875a787,70720.35,"KES 70,720"
889c43a9-20de-43a5-88e0-f350f91efcfe,12978.94,"KES 12,979"
5a619d91-13d4-41a4-bff0-77f19b141cdc,55793.37,"KES 55,793"
baaf9d12-2544-4946-827b-9b9333a85bcd,75109.87,"KES 75,110"
faa7f7c8-9768-4ed6-a91f-c3d21e17987e,104710.58,"KES 104,711"
f67a3004-ca0b-434b-b7d2-73b77208d494,114003.19,"KES 114,003"
991f009b-946c-4b79-9138-c2dc2911f643,17228.17,"KES 17,228"
182d0035-4c86-48e4-8908-513f0b682c15,52127.03,"KES 52,127"
84e993e2-0f2f-467e-8316-7f98b838d475,83500.34,"KES 83,500"
3eb0ac71-36d5-41a2-896d-5f8c08dfc9b0,19774.83,"KES 19,775"
be764e0d-97fe-4529-bad5-a992719e163d,79505.9,"KES 79,506"
2bf99c06-aafa-4dea-9f62-a28806e08d67,25891.14,"KES 25,891"
3c3976e6-5813-45da-8bfc-1ed751cfe5cd,56044.66,"KES 56,045"
44ad21d1-5734-4cf7-9b25-71e38860b3e8,82475.24,"KES 82,475"
c4146eea-7288-4766-a251-b38d64f0cc94,64240.24,"KES 64,240"
af9c9332-b1de-4c16-854b-d0155ddcb5a9,80543.14,"KES 80,543"
baa8258f-c712-4490-a991-b44f4bb286e4,14743.25,"KES 14,743"
3fa4b36c-f077-45e7-ac9f-3ce52fd25725,43420.38,"KES 43,420"
44a4859b-9e05-4cb9-b50b-4e8953894284,106435.82,"KES 106,436"
772978c5-99dd-4d69-ab32-7c08e509d5d8,24917.49,"KES 24,917"
c4286178-7272-41c6-8d7d-a48300c60128,87456.4,"KES 87,456"
6b5250de-b60f-4148-9a5f-cd81e356d012,29509.39,"KES 29,509"
da4f07e1-8a0f-4c49-bd17-ae189940c4f8,10822.8,"KES 10,823"
21d6f937-9d16-450e-89b4-e764c5b122a5,75841.51,"KES 75,842"
dae47807-c388-48b9-b2e4-8f343fc8365f,19672.15,"KES 19,672"
add4f8bd-4302-44b7-9004-fe648890f29d,73215.8,"KES 73,216"
a12b26b1-2332-44fe-99ba-f6320fcff6dc,62670.59,"KES 62,671"
4561c01c-93ea-49a2-bc6e-77998f973738,12692.33,"KES 12,692"
0ce06aac-35d9-4e80-bffe-41ac47d553e6,121845.41,"KES 121,845"
07598610-ce68-4656-8692-c9eaf4a3ba9d,91352.24,"KES 91,352"
64af1f49-165b-42eb-8abe-2fdf0194a633,111210.87,"KES 111,211"
831ad9c5-e871-4607-afa1-8a389fd68c01,17504.53,"KES 17,505"
ea35e6b0-1063-46e9-9463-ba099a1bfa19,19604.27,"KES 19,604"
b7fea081-a52f-42c8-a272-f6d747d909a1,18108.86,"KES 18,109"
68cabf7e-420d-4162-a3b8-6c5b0b1b3989,75238.86,"KES 75,239"
09e6de12-5392-4641-abd0-347f5bd07636,27192.47,"KES 27,192"
ad970cc2-4a31-47ab-8311-2a0ef102ffd8,72696.48,"KES 72,696"
fe86f0ae-2267-4151-a700-0d392541d8bf,26756.28,"KES 26,756"
5333f8d1-c814-417e-bd23-89f85053fb72,11308.21,"KES 11,308"
37479cff-dea5-4da0-91a4-e2b6abd7431a,31577.19,"KES 31,577"
826c8cd6-1c76-456b-8156-87dad3398ea7,34679.37,"KES 34,679"
03e80d14-cb4a-41b7-a386-10cc87eaa497,15525.4,"KES 15,525"
5182e93e-2fd4-4d3e-9144-f60dee8bb7b0,122638.2,"KES 122,638"
259fa36b-07ab-4a32-92a7-8dd20626530c,28319.66,"KES 28,320"
01a4c138-696b-40f0-9e03-575d4521f473,79506.27,"KES 79,506"
067248a7-8aff-4a6d-a92f-88d7849585fa,84395.19,"KES 84,395"
adab233f-04f7-4879-8ff3-877c56c3def2,102632.13,"KES 102,632"
52f56455-4b66-4230-9f9b-f1494b22c0a5,116937.07,"KES 116,937"
2c5d4be1-fdc6-44ce-91ab-3fc166799c60,20647.6,"KES 20,648"
da4801ae-da5e-4292-8051-a4bbcad7ff18,10875.07,"KES 10,875"
865da5b1-c9bf-42c1-89ca-b3f3e98ca387,79850.74,"KES 79,851"
81752b56-fb52-4704-bfae-0b2b2a5ad90f,57414.46,"KES 57,414"
aecbdb20-4038-464a-a85d-3dbab9ecf78e,79805.4,"KES 79,805"
4b11a918-fdce-43c2-a418-cfabf9068695,26811.31,"KES 26,811"
a32c8eb1-406c-4036-9fe4-f6192ade8b19,94171.74,"KES 94,172"
a2217719-7ae1-4402-877c-e2deea108b46,75658.71,"KES 75,659"
eddf0f2d-33ff-4c14-bbea-ecee29dd7509,58145.62,"KES 58,146"
b85c26a7-25c5-41c8-b8f5-3aac64ac6b61,121751.94,"KES 121,752"
3a75b7a9-3ecd-4de3-b839-98f8abbb7ee2,47151.06,"KES 47,151"
3eeca124-6cb3-4f2a-aa9b-e1473b8a7873,18091.42,"KES 18,091"
40fe61be-e9b3-4275-af0d-c244dcc9c48c,16757.13,"KES 16,757"
a1f19e36-a5e5-4170-8472-40d772f04ea1,68760.3,"KES 68,760"
a3fd1abf-fa21-4e32-a81f-1f0889337229,49854.26,"KES 49,854"
d61de876-d168-4678-9a73-9461ae4f4268,22379.38,"KES 22,379"
b56ab718-32ab-497b-b740-0be9a29f9fba,65180.06,"KES 65,180"
4c53f12d-6a44-46cd-9935-cd873e9f5397,17760.92,"KES 17,761"
474637cf-0225-4501-8b7b-2fa4d28c2b81,68110.82,"KES 68,111"
88d75ec3-01b1-4bd4-a8d3-2f1a0a9139ef,19593.96,"KES 19,594"
2a4710b0-8239-4c4b-8ddc-995ba6af34e3,107126.47,"KES 107,126"
eda1a057-7f97-475e-b25a-d2d21d7cb0ab,114102.56,"KES 114,103"
6c251536-f146-4a45-9f0b-ed1f55bc32eb,15407.96,"KES 15,408"
72a2f53a-a720-4fcf-a457-221d69d4eccf,96494.36,"KES 96,494"
e3377f95-4dd0-48a1-b971-24b12af0de01,111587.73,"KES 111,588"
eae92cb9-06be-43ef-afd6-8503774371f2,33251.91,"KES 33,252"
2b06df6e-111d-4358-8f56-28c82fc35f5c,10019.55,"KES 10,020"
30cf0ab4-a3fe-4d2c-9996-f639e19536b2,50970.17,"KES 50,970"
00defd90-af0d-4969-9ffe-9f65c38108f3,92809.36,"KES 92,809"
86f06fb9-1b9f-4c43-976b-64964c79e472,97613.36,"KES 97,613"
d568a3dc-35f7-4921-a099-1249e4e89982,10916.4,"KES 10,916"
44f1bde0-92f8-467a-8803-75341b42882b,116599.76,"KES 116,600"
d23072b9-507e-421f-9590-d0ccaa71cb0a,100116.22,"KES 100,116"
a995aac2-a704-4a58-a3fd-6a689e367f6d,19424.94,"KES 19,425"
888cdd76-5665-4708-a137-baaf94febaae,10092.39,"KES 10,092"
d41df619-8111-4752-8ab8-10c20b5f1daf,83458.09,"KES 83,458"
964cb252-a7b8-43ba-addb-33c44e725ea0,36054.73,"KES 36,055"
18e0babc-dd98-4675-954e-fd8ece95712d,30329.6,"KES 30,330"
7f5e6e50-e8e7-4318-91cd-907def51cebd,102886.17,"KES 102,886"
61f7e2d6-2649-4b59-bff5-c872fba2d9c5,75484.05,"KES 75,484"
d27915e8-5ed6-4d23-98f0-dc6ca041ed67,107717.44,"KES 107,717"
e199d054-cc14-4add-8769-a50f91808040,15544.19,"KES 15,544"
b13db970-6532-43e3-9176-50acb8f2d36b,90804.08,"KES 90,804"
0c1b48d0-1de8-441d-85e0-93a200d936df,20736.51,"KES 20,737"
9f3658ae-58ac-40f7-b0ac-23c6aecff6be,101681.39,"KES 101,681"
977ace0b-3831-46e0-b581-7e97b745cc57,107544.36,"KES 107,544"
6d6880e1-1952-4749-b5e8-5b0cbf4fe34b,47534.95,"KES 47,535"
e7866fb4-59bc-4b69-a2ed-4feb6c3c37da,96280.67,"KES 96,281"
faec6e31-ffbf-4f5a-8826-7d311b3e2ece,28590.34,"KES 28,590"
bd640cd7-db59-430c-a122-e88198d2e0c1,24826.51,"KES 24,827"
b64701e9-0251-4293-b2aa-049884d9fb47,122772.95,"KES 122,773"
3db31e81-a786-43af-af32-0b4b8ce857e8,84366.26,"KES 84,366"
c3081d4a-3aaa-4a39-afd5-57e465116375,10102.53,"KES 10,103"
6b36170b-2bac-4882-9e19-d8370fffa5de,33850.63,"KES 33,851"
df996247-baba-448d-9dc6-65b897a77835,19466.34,"KES 19,466"
96c550e3-76f7-4cd3-a229-efe79d536c2e,83128.98,"KES 83,129"
39df4c1c-0d68-4596-a5be-cb37a95cdac1,26639.96,"KES 26,640"
cb51d70b-1f94-4523-8ee5-1f2d413b4759,79818.96,"KES 79,819"
a4ab8f99-d013-49ed-807c-f868ae9eea77,68692.67,"KES 68,693"
836a60f0-a701-49cf-9bcf-cbd19ff1dd77,21807.92,"KES 21,808"
7d6810ca-aee8-44b7-9eef-cf22b041db48,10167.09,"KES 10,167"
1698aef6-12bb-4b9a-8808-be367ca2da21,69209.15,"KES 69,209"
8e1cdcd4-281d-4459-9209-680bd52876a6,48385.86,"KES 48,386"
21bcd8dd-7930-4092-8535-a42c03056a52,58440.32,"KES 58,440"
c665a835-0443-4b58-b7b6-7e14b4bce673,13377.99,"KES 13,378"
1d4682c7-0b18-4d85-beef-cad1cb0d4fe3,75393.7,"KES 75,394"
48e03e9e-4acd-4db9-ae44-ebebb8aa4a07,19143.56,"KES 19,144"
d004279d-ba62-4490-a0dd-676a3546117a,76595.19,"KES 76,595"
759a6ece-b81a-460b-a0e7-f1f6ab6e1115,27273.02,"KES 27,273"
6aca38d2-20d7-43cf-98f9-9e5c7cdf6fc0,83203.78,"KES 83,204"
1cb96afe-70c5-4350-8785-f1a8b756b59e,27887.37,"KES 27,887"
462ecc7f-0de2-47ea-b49e-9df01e2231c1,50839.49,"KES 50,839"
f232218e-18a4-4f62-a236-5ce5004a9de8,81362.13,"KES 81,362"
5b5b0e73-cb02-4eb8-ada4-6277edffc60c,80748.4,"KES 80,748"
1998afb5-f33d-4fbb-af41-c9a1315946ae,65956.04,"KES 65,956"
354e03b7-47a7-4f64-986f-5717a7f0fd7f,15680.13,"KES 15,680"
2dc74d15-2d02-459c-93f3-c78f06e418d8,80689.99,"KES 80,690"
07cfe48a-2ae3-4be8-97b6-b88c9d54c9f4,101538.34,"KES 101,538"
4f213e42-7a63-4e01-9029-7c125d66660b,95526.5,"KES 95,526"
e1077b3c-e6bf-4f0a-91dd-f4269bb73140,116890.49,"KES 116,890"
8401811f-51bb-4e54-aa28-c05641cbc8cd,81527.02,"KES 81,527"
2bce56e8-a103-4e54-ac2d-4c836736ad8e,97363.74,"KES 97,364"
78595dc7-aae7-4740-ab81-ce275aadd360,18103.96,"KES 18,104"
7caa84d7-21ad-478b-bd36-ae80c3f3cb1b,85923.07,"KES 85,923"
27dc07ae-c8cb-460f-9d5b-bfd2e964e522,15908.82,"KES 15,909"
f6495dea-c5be-484a-b966-61ab3e3e70df,82529.93,"KES 82,530"
c3ef7753-e47f-407d-8af7-0fa265874238,70203.04,"KES 70,203"
a128b050-680d-49dd-96db-c4d5d7d35673,12220.4,"KES 12,220"
94cf1c77-4efa-48f6-a6d2-736ae5595ef5,79009.8,"KES 79,010"
1017180a-5b23-487e-964a-ccdc0c98e5f9,26523.48,"KES 26,523"
3f12ea4d-de47-4676-b14f-ef0de25827f0,111094.52,"KES 111,095"
b1da24af-a96b-4fc1-9fdf-6c030b1e3916,24454.77,"KES 24,455"
992d3ea5-780f-4cc3-9c82-6319fbfd7400,47974.02,"KES 47,974"
18fb3b7a-0d19-4e13-b682-bf3e2d76bfa3,83093.51,"KES 83,094"
726bb181-188a-4fe1-813b-43c2276b025b,21367.85,"KES 21,368"
4bd8490e-7b47-4ac9-97b3-42a3c2feb9b5,32044.48,"KES 32,044"
ddecbfd8-162d-4f6d-9a34-89573f42f728,76467.86,"KES 76,468"
f326b522-5524-443a-b15a-485b852598b0,44768.63,"KES 44,769"
69954c0d-3277-4e75-b7c6-66b41745236e,23796.67,"KES 23,797"
ac4027ed-2935-4720-88a9-3fd465ae1847,81028.81,"KES 81,029"
9be3caf4-5a62-414d-aedd-52a2c8ae243a,18985.1,"KES 18,985"
43ab11fa-b334-4ce2-8535-02bb48b74d4b,21507.39,"KES 21,507"
e4658820-a296-4064-89b9-7f2237c4b28a,19259.39,"KES 19,259"
79b126fe-3adb-48d9-8f3e-5177081fdb68,28411.35,"KES 28,411"
138b3632-3c03-4d07-a674-5ebec1ad299c,18435.35,"KES 18,435"
9ec91a14-45f0-4a0b-87f8-a439a69aa253,89620.62,"KES 89,621"
df5000a4-7805-46a7-8dee-e6df9224d15b,76525.36,"KES 76,525"
5136107b-a782-47a4-8bf9-ea96132f0a66,109864.59,"KES 109,865"
